race_year,race_round,session,driver,avg_sector1_ms,avg_sector2_ms,avg_sector3_ms
2024,1,FP1,HAM,36540.166666666664,45915.61111111111,25996.722222222223
2024,1,Q,NOR,32125.25,42998.375,26337.875
2024,1,Q,SAR,34562.0,43724.5,25803.5
2024,1,R,SAR,32624.528301886792,42411.5,24181.01851851852
2024,1,FP2,SAR,35323.77272727273,45169.181818181816,27161.045454545456
2024,1,R,NOR,31555.0,41861.333333333336,23954.543859649122
2024,1,FP1,PIA,35629.04761904762,45430.76190476191,26385.571428571428
2024,1,R,LEC,31594.26785714286,41813.929824561405,23835.98245614035
2024,1,FP2,NOR,35490.22727272727,44482.818181818184,25610.227272727272
2024,1,FP3,TSU,40723.9,47060.1,26408.3
2024,1,FP1,RIC,38055.63157894737,46656.21052631579,26718.263157894737
2024,1,FP2,LEC,35113.77272727273,46075.22727272727,26667.863636363636
2024,1,Q,GAS,31874.166666666668,43925.666666666664,26935.666666666668
2024,1,Q,ZHO,32769.75,43075.25,26226.0
2024,1,FP3,BOT,38907.181818181816,47222.27272727273,29270.454545454544
2024,1,FP3,MAG,36546.125,45958.875,26393.25
2024,1,FP3,HAM,34461.53333333333,44645.8,26798.666666666668
2024,1,Q,VER,31581.0,43093.181818181816,27765.272727272728
2024,1,FP1,STR,36278.28571428572,46397.357142857145,26424.428571428572
2024,1,FP1,PER,37154.38888888889,48262.333333333336,26599.055555555555
2024,1,FP1,OCO,37154.86666666667,47024.933333333334,27614.933333333334
2024,1,FP2,PER,34468.13636363636,43889.63636363636,25797.227272727272
2024,1,R,OCO,32081.50909090909,42428.91071428572,24229.25
2024,1,FP2,OCO,36011.42857142857,46862.76190476191,26444.571428571428
2024,1,Q,ALO,33367.666666666664,45900.22222222222,28112.88888888889
2024,1,FP2,STR,33606.09090909091,45755.86363636364,26442.909090909092
2024,1,R,PER,31452.64285714286,41669.15789473684,23809.157894736843
2024,1,R,STR,31698.803571428572,42345.649122807015,23993.78947368421
2024,1,FP2,ALB,35533.045454545456,44897.63636363636,25725.454545454544
2024,1,FP2,RUS,36130.22222222222,45333.0,25129.722222222223
2024,1,FP3,VER,39209.916666666664,46960.583333333336,28155.333333333332
2024,1,R,RUS,31616.321428571428,41991.59649122807,23755.43859649123
2024,1,R,HUL,32167.436363636363,42208.66071428572,24093.5
2024,1,FP1,SAI,36760.45,46024.5,27096.9
2024,1,R,ALB,31880.363636363636,42436.83928571428,24129.321428571428
2024,1,FP2,HUL,34113.68421052631,43969.10526315789,25964.57894736842
2024,1,FP3,STR,37553.92307692308,45896.46153846154,28017.53846153846
2024,1,FP3,PER,40221.181818181816,50696.454545454544,29021.0
2024,1,FP3,OCO,36655.28571428572,49847.57142857143,29337.571428571428
2024,1,Q,SAI,32642.727272727272,42170.63636363636,25621.0
2024,1,FP3,GAS,38927.6,46045.3,28047.2
2024,1,FP3,ZHO,39826.333333333336,47223.083333333336,28724.0
2024,1,Q,TSU,31434.625,43156.875,26271.375
2024,1,R,TSU,31841.236363636363,42404.125,24161.196428571428
2024,1,FP2,TSU,34420.68,45972.52,26128.28
2024,1,FP3,LEC,40334.5,48951.92857142857,27672.214285714286
2024,1,FP3,NOR,36500.5,45025.625,28008.125
2024,1,FP3,SAR,41507.92307692308,49193.153846153844,28978.53846153846
2024,1,Q,ALB,34509.25,44278.875,25852.375
2024,1,Q,HUL,31733.0,41991.181818181816,26207.363636363636
2024,1,Q,RUS,33839.63636363636,47025.545454545456,27588.909090909092
2024,1,FP1,NOR,35941.35,46301.0,26586.4
2024,1,Q,MAG,33064.625,42262.625,25392.375
2024,1,R,PIA,31668.839285714286,41865.14035087719,23969.22807017544
2024,1,FP1,SAR,37205.882352941175,45222.470588235294,27177.823529411766
2024,1,FP2,PIA,34476.416666666664,44169.0,25172.75
2024,1,FP1,LEC,34295.68421052631,47736.47368421053,27711.842105263157
2024,1,R,RIC,31694.072727272727,42398.767857142855,24252.446428571428
2024,1,FP2,RIC,34235.086956521736,44847.47826086957,25878.521739130436
2024,1,Q,HAM,31195.090909090908,42909.545454545456,26248.18181818182
2024,1,Q,BOT,33624.25,44717.5,26805.5
2024,1,FP3,RIC,41585.0,47272.0,30033.8
2024,1,FP1,TSU,36171.75,48603.45,26343.75
2024,1,FP3,PIA,36761.666666666664,47351.77777777778,28429.88888888889
2024,1,FP1,ALO,37000.71428571428,47235.28571428572,27691.64285714286
2024,1,FP3,HUL,38509.454545454544,50197.818181818184,30006.272727272728
2024,1,R,VER,31408.01785714286,41414.84210526316,23734.122807017542
2024,1,FP3,RUS,39839.857142857145,46375.28571428572,27025.428571428572
2024,1,FP3,ALB,39991.27272727273,50670.27272727273,29552.090909090908
2024,1,FP2,VER,34049.57142857143,43085.857142857145,25357.761904761905
