record_id,race_year,race_round,session,race_key,snapshot_index,time_offset_ms,air_temp_c,track_temp_c,humidity_pct,pressure_mbar,wind_speed_ms,is_raining
a8b9ab50f32b111092eee13fbf47fe2677ec115f,2024,1,R,2024_1,115,6914254,17.9,22.7,49.0,1017.3,0.0,false
3bb96e3adea664565f117ced89272c49c6d35291,2024,1,R,2024_1,130,7814288,17.9,22.2,50.0,1017.4,0.6,false
723c86210b4a4dd5b2a34e29b73af5de4f8d6dcf,2024,1,R,2024_1,140,8414303,17.7,21.9,51.0,1017.4,0.5,false
c1ed8b8df352c9628f5b6d4eb4c2b9d84a3d3800,2024,1,R,2024_1,151,9074307,17.7,22.0,51.0,1017.5,0.0,false
9daf7c3273d2b0bff6bb272790829593cc486a76,2024,1,FP1,2024_1,0,44852,19.7,35.8,38.0,1016.2,3.7,false
d0cb6b6f09e9cf475333ff1ce52169c46123ca90,2024,1,FP1,2024_1,75,4545188,19.2,32.6,38.0,1016.1,3.7,false
ec30e57c7b49d58a04f2aa11e86d48fcea28c535,2024,1,FP2,2024_1,9,584713,17.1,23.0,43.0,1017.1,2.2,false
a4470534f9c5b882b89165fafe226cd8c69f2456,2024,1,FP2,2024_1,20,1244758,17.2,22.7,41.0,1017.2,2.0,false
18481c72bc4b16cf2ad9d34fe48df6a7814118ce,2024,1,FP2,2024_1,27,1664749,17.2,22.4,41.0,1017.0,1.8,false
78c0bfd2de287746fdf3a4ebfe67b9a8730140cb,2024,1,FP2,2024_1,29,1784759,17.2,22.4,42.0,1017.2,1.9,false
6e221b60fdcee9ffee15e6dc5d883bb4fe35121f,2024,1,FP2,2024_1,48,2924838,17.3,22.0,36.0,1017.3,1.9,false
e970852ad89e88ce129f661431e20153473ea4a6,2024,1,FP2,2024_1,55,3344802,17.3,21.6,37.0,1017.2,2.4,false
e6c6b5b082818590f4326218700f66ac84ef439b,2024,1,FP2,2024_1,58,3524855,17.3,21.5,37.0,1017.2,2.8,false
