record_id,race_year,race_round,session,race_key,driver_id,lap_number,pit_in_ms,pit_out_ms,tire_compound_before
8a0a298a2a914abdfe334b699858fe207f7de1dd,2024,1,Q,2024_1,OCO,3,1155071,,MEDIUM
2392a5c88299d899f38f3a0fe8af53b8ab692f4a,2024,1,FP2,2024_1,ALB,3,1248199,,MEDIUM
b8a357b60bc5a42f517577464de389cac13bb404,2024,1,Q,2024_1,ZHO,6,1957219,,SOFT
8af91b645cd8d59421705721f476cd2d2d0d4982,2024,1,FP1,2024_1,RIC,23,4856611,,SOFT
a5a6b7525ba7b0c3559e4d4c514c0b58407716ea,2024,1,FP2,2024_1,PER,3,1313878,,SOFT
12cf147242a3af912b94f383d04b88d878d787f3,2024,1,FP3,2024_1,ALB,4,2396470,,SOFT
f0d0e857d54e33196d722bece1bea01f232ff005,2024,1,FP3,2024_1,ALB,13,4045092,,SOFT
b4569c0f16be38359c5eb360a1a52c01b2485f6a,2024,1,FP3,2024_1,NOR,6,3113136,,SOFT
2ab63fb90b9e22ff1c9f3dc8bded01e421619f38,2024,1,R,2024_1,GAS,31,6689011,,HARD
d1bc943a85dc72b0ba3151569ef2349f339d0831,2024,1,Q,2024_1,PIA,9,2736111,,SOFT
81c6796ba9bb647685d95449c2896439e558c936,2024,1,Q,2024_1,ALB,3,1447349,,SOFT
08ccf69f5fbf153c271786f14c1b39a0c2f508eb,2024,1,Q,2024_1,HAM,6,2037155,,SOFT
031b69685bc8d030a21d670b74360d39abc3b6e7,2024,1,Q,2024_1,HAM,12,3384763,,SOFT
eeeb522ee1c91637c6fd6eec58eeb03586eae2ee,2024,1,FP3,2024_1,PER,6,2591239,,HARD
048a41cacabe83cb30ebf9cfa27027b6d6350819,2024,1,R,2024_1,HUL,1,3712101,,SOFT
1c2d423dc43b2ed5491dbc4d8313be6f77400fcb,2024,1,Q,2024_1,GAS,3,1157026,,MEDIUM
2bf60587958393b6b5d9b405f5434f448767bb73,2024,1,Q,2024_1,GAS,6,1624334,,SOFT
a5d0e8844916edc8250c29d6a50a49eb9a56ad87,2024,1,Q,2024_1,RUS,11,3383333,,SOFT
3adce9e9e81a7d9d68edd0cb0a03ef228abc2280,2024,1,FP1,2024_1,HAM,19,4384107,,MEDIUM
c2a006e07408ea8bde054a4dd15308e0611a7845,2024,1,FP3,2024_1,RUS,9,4035348,,SOFT
2043bd2d3f4ee2d4f0af924c4dfe3784bb3e9f51,2024,1,Q,2024_1,BOT,6,1984116,,SOFT
a002c72b7cac930d546ae6d6612851dad52669c6,2024,1,FP1,2024_1,MAG,7,1623533,,MEDIUM
141d09643335ae50f71506483ae8db8583ea20c7,2024,1,FP2,2024_1,ALB,26,4754198,,SOFT
2111a487e6dfee843959835006e95fe83c62eb47,2024,1,FP3,2024_1,VER,16,4761575,,SOFT
abba2958ba5fec0516dd98b5cad78e7934b9f8df,2024,1,Q,2024_1,LEC,6,1593322,,SOFT
bda683df7cdc9164131479ea663dd76073bf1aa1,2024,1,FP1,2024_1,LEC,24,4815897,,MEDIUM
c8df7c65d9198610a3e92d92c2499ffce35d1c25,2024,1,FP3,2024_1,MAG,3,2124094,,SOFT
17df5d97ba26a7dd5f8d6467d5385cd65c385cfa,2024,1,FP3,2024_1,ZHO,17,4797805,,SOFT
d7cc4ad2391b94a290bc40996f599bbc90523b57,2024,1,Q,2024_1,PIA,3,1504192,,SOFT
debd18c541bf580086181b743ad69dd77c3299df,2024,1,FP1,2024_1,GAS,8,1900718,1801719,MEDIUM
6ae5d96c11d55413bc595499c1e7b0699aa7a376,2024,1,FP1,2024_1,OCO,7,1780286,,MEDIUM
f16dcc069c05bdec026fc77075091929942f1a3f,2024,1,FP2,2024_1,HAM,3,1360174,,SOFT
a248d64d626cbd76cbff7d336b261672ab0f3b5d,2024,1,FP2,2024_1,SAR,11,2483544,,SOFT
c56a021cd7f835824a802ba49c70b7f6f5c82d46,2024,1,Q,2024_1,RIC,9,2759902,,SOFT
8ba136dec7dcdec9b77bb6cc2c87159d63bbb2f8,2024,1,R,2024_1,BOT,12,4800495,,SOFT
b6e6d70ccdf4f9c765ea1d4288ae06177d005435,2024,1,FP3,2024_1,HAM,11,2758447,,SOFT
26605d6923da3384576c2e21edade15671cc79f2,2024,1,FP3,2024_1,HAM,20,4860336,,SOFT
efc5b1fbae421569d448b2cf87b798360feeb969,2024,1,FP3,2024_1,SAI,18,4799798,,SOFT
53552404ebfcf32a058c1560911f5969feaedccf,2024,1,Q,2024_1,HAM,15,4041617,,SOFT
92d8e31f6cba36970e6d5f2c1a1d7d99c6b7e8b3,2024,1,R,2024_1,NOR,13,4878561,,SOFT
00ed1c4722edd2d2fa7c32f4c4f1a45dddeed724,2024,1,Q,2024_1,MAG,12,3248009,,SOFT
06c14994037343a548bca96963099f5414c1268b,2024,1,FP1,2024_1,SAR,16,4356924,,MEDIUM
ddd45b6c67d9686b4394bccbb8e58ddb2f07057e,2024,1,R,2024_1,ZHO,28,6377855,,HARD
47be3de8b8358550c903600fa8205f67940f74b3,2024,1,Q,2024_1,ALO,11,3321903,,SOFT
7e4c47a20904ffdae6c5970bec5b543cd08a26fe,2024,1,FP2,2024_1,PER,9,2657735,,SOFT
e7b9857b8c092c0a842a9c85881058e5e5434f86,2024,1,Q,2024_1,PIA,12,3265235,,SOFT
acde70fe3f7b43f0833f8130aa99e4a0fb44fc50,2024,1,FP1,2024_1,GAS,7,1762168,,MEDIUM
f5e71e479a2f4e475caf87872600c634c6865bdc,2024,1,FP1,2024_1,SAI,26,4792042,,MEDIUM
655b6934233a18ce744b727ec6df76bcb58e0c64,2024,1,FP1,2024_1,NOR,14,3237091,,SOFT
fc5b0ec9affd94e7c9e1f3879b98331285f056c9,2024,1,FP2,2024_1,LEC,6,1712195,,SOFT
da62b276f5f52ae2d07ca43f7c148bd87fcc3402,2024,1,Q,2024_1,STR,3,1506495,,SOFT
fded7bf2da88d3a1aa6f17a4af67801cd21beeee,2024,1,FP2,2024_1,HUL,6,1570888,,SOFT
d435692f60650eeb5248fdd60993c6e6a162b36a,2024,1,FP2,2024_1,PIA,9,2488948,,SOFT
e8b010e37aaf0563e9f60c57f0d8d41d914256fa,2024,1,R,2024_1,HAM,33,6844064,,HARD
424c1b4cd3e73fbc4518cdfa509a3543c4408b0c,2024,1,Q,2024_1,VER,6,2061124,,SOFT
54733389201eb89eca50979ff8c0c1557905bbc9,2024,1,Q,2024_1,VER,11,3232588,,SOFT
6f270ac1768e16bf8d07581d74a9da1e76094e47,2024,1,FP2,2024_1,VER,25,4830946,,SOFT
491021d2c24daa4a7ad7fd2901e232faa0b57698,2024,1,Q,2024_1,HUL,9,2721470,,SOFT
56cc1dac0c48ee81bfc3d6210c8bd34cdd3e0bdd,2024,1,FP1,2024_1,HUL,10,1971024,,MEDIUM
3fae0702da937e6d5a16d78ad1cb6959e48528ef,2024,1,FP2,2024_1,BOT,5,1435278,,MEDIUM
54b356e478aeec32d6b445ed2b5834ab5dcb455c,2024,1,FP3,2024_1,NOR,9,3899406,,SOFT
769a3281c14c64b192479689cf9050702da1a82f,2024,1,FP3,2024_1,VER,6,2684681,,HARD
dd31aa8dbd149e2d90fcad0013d8b03c161cebe8,2024,1,Q,2024_1,SAR,3,1469656,,SOFT
df0a5bcc66d085af42fcc5612481b02906f9d121,2024,1,R,2024_1,RIC,35,7072253,,HARD
8638858dc210b905c04f8537a07e9845b4c38725,2024,1,FP3,2024_1,RIC,5,2865380,,SOFT
ff2605087702ff7b68857d7ff85381a7001c33e5,2024,1,FP3,2024_1,ZHO,6,2462460,,SOFT
576bf8670fcb18d5e4b7cb6bf31b48182aa16314,2024,1,FP2,2024_1,SAR,5,1525979,,MEDIUM
01929bb4af03b938383e420d21d66bee64d930e3,2024,1,Q,2024_1,NOR,7,2744438,,SOFT
